"PostId","PostTypeId","ParentId"
27274532,1,27274532
26483173,1,26483173
48702506,1,48702506
18499081,1,18499081
32295101,1,32295101
48485327,2,48485304
30756441,2,21039049
37956615,2,6535676
26638708,2,26635721
24947963,2,24942153
42639766,2,42639522
19700970,2,19690267
19152934,2,19145953
33602864,2,7665955
17228278,2,17213446
32856793,2,20273309
37908872,2,18404916
49368414,2,48979989
36830118,2,36730259
33602892,2,9193228
43600770,2,17320212
9479285,2,9479245
39851194,2,39849534
26631889,2,26631524
8008846,2,1979957
30912254,2,4076601
28333258,2,28333144
15233123,2,15208090
39751013,2,39750701
38976169,2,38976138
32645469,2,32644606
34973376,2,13951127
20726169,2,20725961
45263046,2,45209845
50851664,2,19690267
16263523,2,16262948
18399724,2,18399529
51302976,2,51302682
13294579,2,13294105
7797665,2,7796029
37173569,2,37089349
33067085,2,22163397
31472235,2,31472108
19142938,2,19017720
35885174,2,35884641
24855562,2,24855531
28743039,2,7595797
15900078,2,15859054
22994373,2,22994142
17800138,2,17799295
44764033,2,44763735
25541714,2,25541427
25659127,2,25659054
23539343,2,23538914
29040617,2,15328363
39845785,2,39838965
32505965,2,32505801
