"PostId","PostTypeId","ParentId"
3549221,1,3549221
20662896,1,20662896
21915927,1,21915927
8086527,1,8086527
827387,2,827368
11907237,2,11907185
40921916,2,40917826
10442204,2,10441371
5077619,2,5000261
1494729,2,1494629
6121378,2,6121273
11349331,2,11349237
29851593,2,29851298
4209171,2,4209052
15115566,2,15115041
10114641,2,10114579
9475203,2,9474896
18213021,2,18212792
3531655,2,3531614
10766234,2,10766104
2387277,2,2387052
6526879,2,6526819
9327705,2,9327659
11235772,2,11231233
8463056,2,8460265
6655362,2,6655328
7698573,2,7698531
1418731,2,1416878
5847278,2,5846554
7234740,2,7234678
11764108,2,11763991
12426704,2,12426650
10227471,2,10227441
3438446,2,3438428
