"PostId","PostTypeId","ParentId"
25110794,1,25110794
44251451,1,44251451
42962595,1,42962595
47735388,1,47735388
24232600,1,24232600
22874348,1,22874348
26118402,1,26118402
50253379,1,50253379
45538143,1,45538143
46106081,1,46106081
24346993,1,24346993
17320212,1,17320212
21780687,2,18122336
29239846,2,29236883
45000414,2,44999884
46619125,2,46609004
26602213,2,26599436
26682139,2,26681930
19909043,2,19724330
30739587,2,30737617
40462873,2,40461692
35848667,2,35664273
50977196,2,50977047
36258704,2,22502824
41064536,2,41045090
40536773,2,40528772
25725252,2,25712344
48569830,2,48568300
38102918,2,38089831
36781266,2,36778372
22789540,2,19114043
21780307,2,21779364
43933474,2,43932030
18945921,2,18945763
48502015,2,26055085
42627336,2,42611249
24569684,2,24569433
42552463,2,42044821
44636512,2,44633576
32852248,2,32852105
44176009,2,44012572
23615836,2,23614238
47631409,2,47618347
37615283,2,37607311
