"PostId","PostTypeId","ParentId"
27493525,1,27493525
32749878,1,32749878
26757495,1,26757495
20466960,1,20466960
41812757,1,41812757
48407435,1,48407435
40216680,1,40216680
44325351,1,44325351
29336174,1,29336174
50515127,1,50515127
51516277,1,51516277
49192442,1,49192442
29816707,1,29816707
44298724,1,44298724
44864736,1,44864736
41072598,1,41072598
30616159,2,436866
27094224,2,27093216
36640761,2,36638880
42257753,2,42256688
38969915,2,38969776
45786711,2,16265653
33145136,2,33144519
35202276,2,35201380
