"PostId","PostTypeId","ParentId"
35692730,1,35692730
21018010,1,21018010
34060100,1,34060100
33127987,1,33127987
41146530,1,41146530
31981648,1,31981648
28218417,1,28218417
39496186,1,39496186
42168996,1,42168996
34052021,1,34052021
38149663,1,38149663
38622709,1,38622709
42091246,1,42091246
47242345,1,47242345
35160935,1,35160935
51129094,1,51129094
32314219,1,32314219
43735087,1,43735087
31585572,1,31585572
47235718,1,47235718
34527332,1,34527332
24386712,1,24386712
29085302,1,29085302
30319284,1,30319284
43328434,1,43328434
34627068,1,34627068
37581182,1,37581182
37842215,1,37842215
25210210,1,25210210
33284955,1,33284955
51287383,1,51287383
45696790,1,45696790
39733740,1,39733740
40087885,1,40087885
44185548,1,44185548
46726496,2,42924865
43801542,2,43801332
22416079,2,22416012
29875713,2,29875534
36595042,2,36594707
50978346,2,50977581
35010276,2,34618435
30974961,2,30974730
33640717,2,33633517
33134638,2,33134561
32213142,2,32212948
48478734,2,48478201
40196029,2,40175883
30408923,2,30407061
34031322,2,33969651
35116968,2,35115565
30106280,2,30089205
22450383,2,22406399
37592113,2,26610657
34435624,2,34434474
28095225,2,8077335
