"PostId","PostTypeId","ParentId"
36049997,1,36049997
32750922,1,32750922
44012366,1,44012366
50070625,1,50070625
45329585,1,45329585
41261389,1,41261389
38772498,1,38772498
47109105,1,47109105
37032790,1,37032790
44465775,1,44465775
38209451,1,38209451
32358036,1,32358036
50971088,1,50971088
46138208,1,46138208
50776358,1,50776358
31150612,1,31150612
35622046,1,35622046
35560369,1,35560369
41722008,1,41722008
39758854,1,39758854
36102225,1,36102225
50720290,1,50720290
35566182,1,35566182
32251712,1,32251712
42428737,1,42428737
51240821,1,51240821
40988316,1,40988316
31181849,1,31181849
42062630,1,42062630
49241639,1,49241639
34570229,1,34570229
35158901,2,35158576
46390668,2,46390619
36745753,2,19514704
51370646,2,22909010
51370727,2,5686044
32104545,2,32104278
30846390,2,30844500
40058285,2,40057110
43513725,2,43468905
29783873,2,1926049
46475118,2,46474620
44320391,2,44320358
42875965,2,42875827
36117870,2,2551933
30005177,2,30005127
47931095,2,38366861
