"PostId","PostTypeId","ParentId"
43753254,1,43753254
46111543,1,46111543
49967645,1,49967645
35983476,1,35983476
19542185,1,19542185
46349637,1,46349637
29905388,1,29905388
49680432,1,49680432
43177670,1,43177670
21983309,1,21983309
43207673,1,43207673
27083114,1,27083114
30870713,1,30870713
51808588,1,51808588
19736924,1,19736924
37146431,1,37146431
50810107,1,50810107
42799879,1,42799879
8357296,1,8357296
44402975,1,44402975
28928193,1,28928193
41906462,1,41906462
37826874,1,37826874
38227714,1,38227714
34838259,1,34838259
29992952,1,29992952
11345392,1,11345392
36122513,1,36122513
20157502,1,20157502
48881178,1,48881178
28472871,1,28472871
49756742,1,49756742
49918920,1,49918920
16296589,1,16296589
47094425,1,47094425
44427653,1,44427653
36795691,1,36795691
46893220,1,46893220
19840056,1,19840056
9858094,1,9858094
24170420,1,24170420
36211826,1,36211826
33699033,1,33699033
19330334,1,19330334
11313720,2,11313358
51905683,2,51808588
