"PostId","PostTypeId","ParentId"
37836863,1,37836863
42850464,1,42850464
28985718,1,28985718
38115978,1,38115978
29891845,1,29891845
28113782,1,28113782
29354188,1,29354188
46371062,1,46371062
36093449,1,36093449
38998974,1,38998974
47523332,1,47523332
29885970,1,29885970
32147724,1,32147724
44406215,1,44406215
49345232,1,49345232
32303588,1,32303588
30163778,1,30163778
39590218,1,39590218
42222156,1,42222156
41953010,1,41953010
32645180,1,32645180
45915029,1,45915029
34789534,1,34789534
45895783,1,45895783
37451324,1,37451324
30465830,1,30465830
41082847,1,41082847
22993617,1,22993617
42791832,2,42791043
49586723,2,27178364
32303780,2,32303588
26554002,2,26525320
36312955,2,36312665
48221840,2,48217846
31653235,2,31651235
49649074,2,49638217
29481091,2,26525320
32708257,2,26732480
43038980,2,43038215
40612053,2,36161206
46214597,2,26525320
