"PostId","PostTypeId","ParentId"
28199478,1,28199478
19235446,1,19235446
2008922,1,2008922
38972166,1,38972166
13480652,1,13480652
3619741,1,3619741
15467881,1,15467881
8429591,1,8429591
6291714,2,6291554
9735529,2,9735364
20948835,2,20948504
654107,2,654099
3523601,2,3523507
14854673,2,14854631
35536796,2,35535480
26271046,2,26270963
20488866,2,20488794
1276124,2,1276098
13191817,2,13191498
49344722,2,49267917
36094087,2,36092800
46339938,2,46337639
14855414,2,14854631
13235046,2,13234819
14094871,2,14094045
10085194,2,9968042
22008050,2,22006639
657315,2,657313
1213303,2,1028010
6473851,2,6473746
18592075,2,18566356
35539621,2,20514168
28758847,2,28734821
23738101,2,9463843
30589384,2,30588212
51593373,2,51592879
