"PostId","PostTypeId","ParentId"
6210156,1,6210156
43096656,1,43096656
23908678,2,23908607
10416120,2,10416053
2757155,2,2757113
25255462,2,25255442
16782445,2,16782400
8217451,2,8217415
27826438,2,27826281
31949462,2,31949341
33834752,2,33834718
7010773,2,7010746
44759833,2,44759736
33554351,2,33550152
4529553,2,4529528
34961690,2,34961668
43200233,2,43200097
19977631,2,19977457
29545810,2,29545528
18694994,2,18694414
36087043,2,36086766
31991597,2,31991425
21738098,2,21738031
8787733,2,8787706
36427986,2,36427745
1332570,2,1332510
