"PostId","PostTypeId","ParentId"
5215501,1,5215501
13205503,1,13205503
8598301,1,8598301
9863441,1,9863441
9883746,1,9883746
21313852,1,21313852
13682124,1,13682124
11763848,1,11763848
11886511,1,11886511
15359168,1,15359168
5606412,1,5606412
8004222,2,523633
9948827,2,9948594
13417760,2,13369813
11251838,2,11251791
6857059,2,6856872
6403066,2,6402883
11967407,2,11967340
6354325,2,6354277
14765219,2,14765074
8878677,2,8878521
9379898,2,9379869
14266826,2,14266730
15200799,2,15156961
11740768,2,11740669
5142389,2,5142337
15806139,2,15806049
