"PostId","PostTypeId","ParentId"
51992414,1,51992414
51202082,1,51202082
47961671,1,47961671
50068734,1,50068734
45491453,1,45491453
48833673,1,48833673
41913465,1,41913465
35945052,1,35945052
34223235,1,34223235
45824356,1,45824356
49541291,1,49541291
38148573,1,38148573
52012639,1,52012639
36645321,1,36645321
37229072,1,37229072
39114628,1,39114628
50571048,1,50571048
42294007,1,42294007
46357954,2,46357230
45502826,2,45502470
38630619,2,17607173
41627328,2,41627226
45043529,2,41802853
34778500,2,34772854
34851922,2,34851668
37229162,2,37229072
51952777,2,51952136
37048516,2,37048386
38654277,2,13439486
39040156,2,39040072
52072189,2,52071955
43879251,2,43878592
40798924,2,40798774
43317979,2,43317857
49542262,2,49541952
47742165,2,47742042
40204830,2,9987670
47550893,2,47550819
50021150,2,50019213
37016194,2,35965466
35380069,2,35379948
44870856,2,44870561
34362248,2,34360498
41049726,2,41049145
47072983,2,47072951
36216476,2,36216427
51457526,2,51457385
35598143,2,35597932
33367654,2,33316896
51739478,2,51739317
