"PostId","PostTypeId","ParentId"
24628078,1,24628078
40089301,1,40089301
32205623,1,32205623
30348406,1,30348406
20748560,1,20748560
39474350,1,39474350
20707239,1,20707239
25482783,1,25482783
12710733,1,12710733
17740181,1,17740181
15563344,1,15563344
17162556,1,17162556
21298083,1,21298083
16118789,1,16118789
47449483,2,47349312
41761550,2,35834481
10481395,2,10481277
11359154,2,11359069
41868939,2,41868851
26156258,2,26156182
17580021,2,17579941
13652456,2,9430529
15930764,2,15929813
21546758,2,21546678
21519695,2,21519665
23267596,2,23266373
