"PostId","PostTypeId","ParentId"
15029422,1,15029422
34030306,1,34030306
43784623,1,43784623
38399436,1,38399436
9232949,1,9232949
23043272,1,23043272
47472071,1,47472071
32504884,1,32504884
35397685,1,35397685
48041917,1,48041917
10877108,1,10877108
40532684,1,40532684
25798302,1,25798302
12244376,1,12244376
42224319,2,42220669
45787852,2,45787699
28268371,2,28268287
25914430,2,25914192
7244591,2,7244410
32766097,2,32764493
18733242,2,18732924
39071500,2,39065569
31974789,2,31974735
21778303,2,21777703
19110618,2,19110516
44367533,2,44367357
940118,2,939625
955046,2,954327
2037271,2,2036864
13929865,2,13929831
14128751,2,14127335
7088476,2,7088166
49535514,2,49535451
