"PostId","PostTypeId","ParentId"
23648028,1,23648028
28678890,1,28678890
20671453,1,20671453
25499253,1,25499253
41220707,1,41220707
19603624,1,19603624
21328393,1,21328393
37267397,1,37267397
23774415,1,23774415
28839039,1,28839039
22732874,1,22732874
20216922,1,20216922
19609731,1,19609731
38604670,1,38604670
39728292,1,39728292
23921356,1,23921356
22742170,1,22742170
26678363,1,26678363
23548160,1,23548160
33076585,1,33076585
19189877,1,19189877
20397861,1,20397861
31699241,1,31699241
24179998,1,24179998
40542786,1,40542786
22568002,1,22568002
23448382,1,23448382
38956537,1,38956537
21406924,1,21406924
28784396,1,28784396
30203420,1,30203420
27664954,1,27664954
32935317,1,32935317
19196924,1,19196924
25474403,2,25474359
19947561,2,19947086
45073478,2,40101359
27487639,2,27485433
23887514,2,23887285
21475726,2,21473495
22424397,2,22424265
29197167,2,29197069
24894589,2,24731838
38905640,2,38905509
36348645,2,36346454
