"PostId","PostTypeId","ParentId"
11746184,1,11746184
13630749,1,13630749
16835754,1,16835754
2823186,2,2823005
6614299,2,6614268
8008408,2,8008376
29411688,2,29411418
7327229,2,7327046
18992634,2,18992053
1990548,2,1990512
26567557,2,25880767
9708671,2,9708540
9773805,2,9773689
32678734,2,32678553
30306860,2,30305621
8741730,2,8741696
38981119,2,31867551
5827988,2,5827803
12395289,2,12395231
4820508,2,4820482
6948514,2,6947682
12912718,2,12912671
28395381,2,28393649
9457524,2,9457377
3479573,2,3479485
46153443,2,46153320
5768997,2,5768943
16449766,2,16449620
10919712,2,10919575
4820516,2,4820482
12927081,2,12927061
