"PostId","PostTypeId","ParentId"
46832093,1,46832093
28074784,1,28074784
25245834,1,25245834
36848771,1,36848771
51557742,1,51557742
52009981,1,52009981
27991474,1,27991474
33268404,1,33268404
51609355,1,51609355
45269410,1,45269410
41120181,1,41120181
36467101,2,21039049
45867589,2,45865987
41957677,2,41957125
34170432,2,34151210
50199190,2,50079204
33419889,2,33419823
46833159,2,46832093
48972025,2,48971348
48261777,2,48170662
47302418,2,21783391
27486005,2,27485500
47289941,2,46280399
46821857,2,46821310
27448235,2,27361662
39233933,2,39233115
48786415,2,48452658
37656226,2,37654759
43354845,2,43354580
37920880,2,37919593
