"PostId","PostTypeId","ParentId"
23558986,1,23558986
26753071,1,26753071
27308370,1,27308370
21888042,1,21888042
27331627,1,27331627
23416736,1,23416736
18571844,1,18571844
25349734,1,25349734
19051088,1,19051088
21707904,1,21707904
35806338,1,35806338
23074795,1,23074795
36815984,1,36815984
28849733,1,28849733
25533655,1,25533655
21427862,1,21427862
20983184,1,20983184
30237950,1,30237950
32782185,1,32782185
23617569,1,23617569
28697054,1,28697054
25193631,1,25193631
22369966,1,22369966
21515141,1,21515141
20326835,1,20326835
25322266,2,20140454
24314088,2,24313539
20488489,2,20488033
40887718,2,40886832
23624162,2,23624009
24262088,2,24262015
24313726,2,24313539
32282347,2,32282193
30105498,2,30104113
20463542,2,20463256
24251545,2,24251441
21131889,2,21131773
