"PostId","PostTypeId","ParentId"
51116937,1,51116937
35038598,1,35038598
36209626,1,36209626
35040973,1,35040973
33798836,1,33798836
49187228,1,49187228
49885876,1,49885876
41736140,1,41736140
35913587,1,35913587
38426635,1,38426635
44457563,1,44457563
37275235,1,37275235
26058252,1,26058252
33785984,1,33785984
26154942,1,26154942
34256196,1,34256196
29559507,1,29559507
24669280,1,24669280
35014170,1,35014170
20998816,1,20998816
34314570,1,34314570
44187317,1,44187317
32056951,1,32056951
41483456,1,41483456
25841528,1,25841528
38640250,1,38640250
36497012,1,36497012
47704495,1,47704495
42033340,1,42033340
43250721,1,43250721
22967880,1,22967880
42788249,1,42788249
41736140,1,41736140
26651435,1,26651435
27808530,2,27808448
49503192,2,30450229
31931156,2,31920716
40248795,2,40248468
