"PostId","PostTypeId","ParentId"
15751273,1,15751273
46757440,1,46757440
25019672,1,25019672
27553326,1,27553326
30982285,1,30982285
31691959,1,31691959
14432305,1,14432305
47751560,1,47751560
51915124,1,51915124
17080520,1,17080520
36507684,1,36507684
40490926,1,40490926
48991253,1,48991253
17037764,2,6605184
19074910,2,19074850
40320521,2,2661361
9619412,2,9608413
48335187,2,48335120
29741396,2,29628001
32819443,2,32819326
17207802,2,17207472
11154063,2,11151357
32858843,2,28033156
32858616,2,32858568
10470916,2,10462799
