"PostId","PostTypeId","ParentId"
39572045,1,39572045
21851926,1,21851926
6715609,1,6715609
50121465,1,50121465
10835868,1,10835868
12891013,1,12891013
32260640,1,32260640
49333802,1,49333802
43901696,1,43901696
34912422,1,34912422
10505862,1,10505862
25180524,1,25180524
26842801,1,26842801
29306138,1,29306138
17617268,1,17617268
32420847,1,32420847
47121739,1,47121739
17249278,1,17249278
38929622,1,38929622
21500884,1,21500884
15192019,1,15192019
27263896,1,27263896
11535372,1,11535372
45852278,1,45852278
38922357,1,38922357
45895783,1,45895783
41974488,1,41974488
22180542,1,22180542
47414408,1,47414408
48167449,1,48167449
44955140,1,44955140
48692752,2,48689150
25374905,2,25374682
46028209,2,46018098
31758649,2,31752374
40882338,2,40880669
18159488,2,18158298
42478180,2,42476927
7549141,2,7548998
18424054,2,18423923
42480115,2,42162570
14738864,2,14738429
30635888,2,30635827
30070152,2,30059976
47854657,2,47759994
