"PostId","PostTypeId","ParentId"
1943998,1,1943998
30649805,1,30649805
985174,1,985174
3719029,2,3718962
19066385,2,19065969
15230264,2,15230205
4965469,2,4965442
16356191,2,16354508
21282719,2,21282577
18460905,2,18460810
16504700,2,16504633
5641534,2,5641492
12367613,2,12367581
5009108,2,4999770
6108264,2,6108157
1826816,2,1826804
4527611,2,4527552
6794321,2,6794255
15632587,2,15632553
9395907,2,9395687
17525181,2,17525057
3841620,2,3841578
5634711,2,5634592
494050,2,494016
4668545,2,4668484
6694505,2,6694449
18786602,2,18786366
16643341,2,10409802
16619761,2,16619694
